,Date,Subject,Check,Counter
212,april 2021,sp9,True,1
213,september 2021,sp9,True,1
214,april 2022,sp9,True,1
215,september 2022,sp9,True,1
216,april 2023,sp9,True,1
217,september 2023,sp9,True,1
218,april 2024,sp9,True,1
219,september 2024,sp9,True,1
220,april 2025,sp9,True,1
221,april 2019,sa1,True,1
222,september 2019,sa1,True,1
223,april 2020,sa1,True,1
224,september 2020,sa1,True,1
225,april 2021,sa1,True,1
226,september 2021,sa1,True,1
227,april 2022,sa1,True,1
228,september 2022,sa1,True,1
229,april 2023,sa1,True,1
230,september 2023,sa1,True,1
231,april 2024,sa1,True,1
232,september 2024,sa1,True,1
233,april 2025,sa1,True,1
234,april 2019,sa2,True,1
235,september 2019,sa2,True,1
236,april 2020,sa2,True,1
237,september 2020,sa2,True,1
238,april 2021,sa2,True,1
239,september 2021,sa2,True,1
240,april 2022,sa2,True,1
241,september 2022,sa2,True,1
242,april 2023,sa2,True,1
243,september 2023,sa2,True,1
244,april 2024,sa2,True,1
245,september 2024,sa2,True,1
246,april 2025,sa2,True,1
247,april 2019,sa3,True,1
248,september 2019,sa3,True,1
249,april 2020,sa3,True,1
250,september 2020,sa3,True,1
251,april 2021,sa3,True,1
252,september 2021,sa3,True,1
253,april 2022,sa3,True,1
254,september 2022,sa3,True,1
255,april 2023,sa3,True,1
256,september 2023,sa3,True,1
257,april 2024,sa3,True,1
258,september 2024,sa3,True,1
259,april 2025,sa3,True,1
260,april 2019,sa4,True,1
261,september 2019,sa4,True,1
262,april 2020,sa4,True,1
263,september 2020,sa4,True,1
264,april 2021,sa4,True,1
265,september 2021,sa4,True,1
266,april 2022,sa4,True,1
267,september 2022,sa4,True,1
268,april 2023,sa4,True,1
269,september 2023,sa4,True,1
270,april 2024,sa4,True,1
271,september 2024,sa4,True,1
272,april 2025,sa4,True,1
273,april 2019,sa7,True,1
274,september 2019,sa7,True,1
275,april 2020,sa7,True,1
276,september 2020,sa7,True,1
277,april 2021,sa7,True,1
278,september 2021,sa7,True,1
279,april 2022,sa7,True,1
280,september 2022,sa7,True,1
281,april 2023,sa7,True,1
282,september 2023,sa7,True,1
283,april 2024,sa7,True,1
284,september 2024,sa7,True,1
285,april 2025,sa7,True,1
