,Date,Subject,Pass Mark,Candidates Entered,Candidates Passed,Pass Rate,Filepath
74,2020-04-01,cp3,55.0,1333.0,674.0,0.5056264066016504,pdfs2\IandF_CP3_202004_Examiners_Report_1.1.pdf
75,2020-09-01,cp3,55.0,1560.0,809.0,0.5185897435897436,pdfs2\IandF_CP3_202009_Examiners_Report.pdf
76,2021-04-01,cp3,59.0,1267.0,720.0,0.5682715074980268,pdfs2\IandF_CP3_202104_Examiners_Report_v1.pdf
77,2021-09-01,cp3,56.0,1311.0,748.0,0.5705568268497331,pdfs2\IandF_CP3_202109_Examiner Report.pdf
78,2022-09-01,cp3,54.0,1448.0,764.0,0.5276243093922652,pdfs2\IandF_CP3_202209_Examiner Report.pdf
79,2023-04-01,cp3,56.0,1451.0,766.0,0.5279117849758787,pdfs2\IandF_CP3_202304_Examiner Report.pdf
80,2023-09-01,cp3,56.0,1743.0,1208.0,0.6930579460699943,pdfs2\IandF_CP3_202309_Examiner Report.pdf
81,2021-04-01,cs1,56.0,1482.0,779.0,0.5256410256410257,pdfs2\IandF_CS1 Paper A_202104_Examiners_Report.pdf
83,2019-04-01,cs1,,,,,pdfs2\IandF_CS1A_201904_Examiners_Report.pdf
84,2019-09-01,cs1,,,,,pdfs2\IandF_CS1A_201909_Examiners_Report.pdf
85,2020-09-01,cs1,60.0,1189.0,823.0,0.6921783010933558,pdfs2\IandF_CS1A_202009_Examiners_Report.pdf
86,2021-09-01,cs1,58.0,1372.0,578.0,0.4212827988338192,pdfs2\IandF_CS1A_202109_Examiner Report.pdf
87,2022-09-01,cs1,55.0,1302.0,539.0,0.4139784946236559,pdfs2\IandF_CS1A_202209_Examiner Report.pdf
88,2023-04-01,cs1,62.0,1460.0,746.0,0.510958904109589,pdfs2\IandF_CS1A_202304_Examiner Report.pdf
89,2023-09-01,cs1,60.0,1508.0,730.0,0.4840848806366047,pdfs2\IandF_CS1A_202309_Examiner Report.pdf
97,2022-04-01,cs1,59.0,1311.0,579.0,0.4416475972540046,pdfs2\IandF_CS1_Paper A_202204_Examiner Report.pdf
99,2019-04-01,cs2,55.0,,,,pdfs2\IandF_CS2A_201904_Examiner Report.pdf
100,2019-09-01,cs2,,,,,pdfs2\IandF_CS2A_201909_Examiners_Report.pdf
101,2020-09-01,cs2,,1363.0,476.0,0.3492296404988995,pdfs2\IandF_CS2A_202009_Examiners_Report.pdf
102,2021-09-01,cs2,58.0,1264.0,440.0,0.3481012658227848,pdfs2\IandF_CS2A_202109_Examiner Report.pdf
103,2022-09-01,cs2,55.0,978.0,195.0,0.1993865030674846,pdfs2\IandF_CS2A_202209_Examiner Report.pdf
104,2023-04-01,cs2,51.0,1226.0,376.0,0.3066884176182708,pdfs2\IandF_CS2A_202304_Examiner Report.pdf
105,2023-09-01,cs2,55.0,993.0,331.0,0.3333333333333333,pdfs2\IandF_CS2A_202309_Examiner Report.pdf
113,2022-04-01,cs2,57.0,1175.0,452.0,0.3846808510638297,pdfs2\IandF_CS2_Paper A_202204_Examiner Report.pdf
115,2021-04-01,cs2,55.0,1422.0,480.0,0.3375527426160337,pdfs2\IandF_CS2_Paper_A_202104_Examiners_Report.pdf
117,2019-04-01,sa1,55.0,,,,pdfs2\IandF_SA1_201904_Examiners_Report.pdf
118,2019-09-01,sa1,57.0,,,,pdfs2\IandF_SA1_201909_Examiners_Report.pdf
119,2020-04-01,sa1,62.0,69.0,36.0,0.5217391304347826,pdfs2\IandF_SA1_202004_Examiners_Report_1.1.pdf
120,2020-09-01,sa1,60.0,54.0,20.0,0.3703703703703703,pdfs2\IandF_SA1_202009_Examiners_Report.pdf
